Symbol,Sector,industry
CME,Finance,Investment Bankers/Brokers/Service
CCNE,Finance,Major Banks
CCNEP,Finance,Major Banks
CNSP,Health Care,Major Pharmaceuticals
CCB,Finance,Major Banks
COKE,Consumer Non-Durables,Beverages (Production/Distribution)
COCP,Health Care,Major Pharmaceuticals
CODA,Capital Goods,Industrial Machinery/Components
CCNC,Consumer Durables,Steel/Iron Ore
CDXS,Basic Industries,Major Chemicals
CODX,Health Care,Medical/Dental Instruments
CDAK,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVLY,Finance,Savings Institutions
JVA,Consumer Non-Durables,Food Distributors
COGT,Health Care,Major Pharmaceuticals
CCOI,Consumer Services,Telecommunications Equipment
CGNX,Capital Goods,Industrial Machinery/Components
CTSH,Technology,EDP Services
CWBR,Health Care,Major Pharmaceuticals
COHR,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CHRS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COHU,Capital Goods,Electrical Products
CGRO,Finance,Business Services
CGROU,Finance,Business Services
CGROW,Finance,Business Services
CLCT,Miscellaneous,Business Services
COLL,Health Care,Major Pharmaceuticals
CIGI,Finance,Real Estate
CLGN,,
CBAN,Finance,Major Banks
CSCW,Basic Industries,Engineering & Construction
COLB,Finance,Major Banks
CLBK,Finance,Savings Institutions
COLM,Consumer Non-Durables,Apparel
CMCO,Capital Goods,Construction/Ag Equipment/Trucks
CMCSA,Consumer Services,Television Services
CBSH,Finance,Major Banks
CVGI,Capital Goods,Auto Parts:O.E.M.
COMM,Technology,Radio And Television Broadcasting And Communications Equipment
JCS,Public Utilities,Telecommunications Equipment
ESXB,Finance,Major Banks
CFBI,Finance,Savings Institutions
CTBI,Finance,Major Banks
CWBC,Finance,Major Banks
CVLT,Technology,Computer Software: Prepackaged Software
CMPS,Health Care,Major Pharmaceuticals
CMPX,,
CGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CPSI,Technology,EDP Services
CTG,Technology,EDP Services
SCOR,Miscellaneous,Business Services
COMS,,
COMSW,Capital Goods,Aerospace
CHCI,Finance,Real Estate
CMTL,Technology,Radio And Television Broadcasting And Communications Equipment
CNXC,Miscellaneous,Business Services
CNCE,Health Care,Major Pharmaceuticals
BBCP,Basic Industries,Engineering & Construction
CDOR,Consumer Services,Real Estate Investment Trusts
CNDT,Miscellaneous,Business Services
CFMS,Health Care,Industrial Specialties
CNFR,Finance,Property-Casualty Insurers
CNFRL,Finance,Property-Casualty Insurers
CNOB,Finance,Major Banks
CONN,Consumer Services,Consumer Electronics/Video Chains
CNSL,Public Utilities,Telecommunications Equipment
CWCO,Public Utilities,Water Supply
CNST,Health Care,Major Pharmaceuticals
ROAD,Basic Industries,Military/Government/Technical
CPSS,Finance,Finance: Consumer Services
WISH,Consumer Services,Catalog/Specialty Distribution
CFRX,Health Care,Major Pharmaceuticals
CVLB,Basic Industries,Package Goods/Cosmetics
CPTI,,
CONX,Finance,Business Services
CONXU,Finance,Business Services
CONXW,Finance,Business Services
CPRT,Consumer Durables,Automotive Aftermarket
CRBP,Health Care,Major Pharmaceuticals
CORT,Health Care,Major Pharmaceuticals
CORE,Consumer Non-Durables,Food Distributors
COOLU,Finance,Business Services
CSOD,Technology,Computer Software: Prepackaged Software
CRSR,Technology,Computer peripheral equipment
CRTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLDB,Finance,Savings Institutions
CRVL,Finance,Specialty Insurers
KOR,Basic Industries,Precious Metals
CRVS,Health Care,Major Pharmaceuticals
CSGP,Miscellaneous,Business Services
COST,Consumer Services,Department/Specialty Retail Stores
CPAH,Technology,Computer Software: Prepackaged Software
ICBK,Finance,Major Banks
COUP,Technology,Computer Software: Prepackaged Software
CVLG,Transportation,Trucking Freight/Courier Services
CVET,Health Care,Medical/Nursing Services
COWN,Finance,Investment Bankers/Brokers/Service
COWNL,Finance,Investment Bankers/Brokers/Service
COWNZ,Finance,Investment Bankers/Brokers/Service
CPSH,Capital Goods,Building Materials
CRAI,Miscellaneous,Other Consumer Services
CBRL,Consumer Services,Restaurants
CRTD,Consumer Services,Movies/Entertainment
CRTDW,Consumer Services,Movies/Entertainment
CREX,Technology,EDP Services
CREXW,Technology,EDP Services
CACC,Finance,Finance: Consumer Services
GLDI,Finance,Investment Bankers/Brokers/Service
SLVO,Finance,Investment Bankers/Brokers/Service
USOI,Finance,Investment Bankers/Brokers/Service
CREE,Technology,Semiconductors
CRSA,Consumer Services,Services-Misc. Amusement & Recreation
CRSAU,Consumer Services,Services-Misc. Amusement & Recreation
CRSAW,Consumer Services,Services-Misc. Amusement & Recreation
CCAP,,
CRESY,Finance,Real Estate
CXDO,Public Utilities,Telecommunications Equipment
CRNX,Health Care,Major Pharmaceuticals
CRSP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Technology,Advertising
CROX,Consumer Non-Durables,Shoe Manufacturing
CRON,Consumer Durables,Specialty Chemicals
CCRN,Technology,Professional Services
CFB,Finance,Major Banks
CRWD,Technology,Computer Software: Prepackaged Software
CRWS,Basic Industries,Textiles
CYRX,Health Care,Major Pharmaceuticals
CSGS,Technology,EDP Services
CCLP,Energy,Oilfield Services/Equipment
CSPI,Technology,EDP Services
CSWI,Basic Industries,Home Furnishings
CSX,Transportation,Railroads
CTIC,Health Care,Major Pharmaceuticals
CUE,Health Care,Major Pharmaceuticals
CPIX,Health Care,Major Pharmaceuticals
CMLS,Consumer Services,Broadcasting
CVAC,Health Care,Major Pharmaceuticals
CURI,Consumer Services,Movies/Entertainment
CURIW,Consumer Services,Movies/Entertainment
CRIS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,Finance,Major Banks
CVV,Technology,Industrial Machinery/Components
CYAN,Consumer Durables,Specialty Chemicals
CYBR,Technology,Computer Software: Prepackaged Software
CYBE,Capital Goods,Electronic Components
CYCC,Health Care,Major Pharmaceuticals
CYCCP,Health Care,Major Pharmaceuticals
CYCN,Health Care,Major Pharmaceuticals
CYTH,Basic Industries,Major Chemicals
CYTHW,Basic Industries,Major Chemicals
CBAY,Health Care,Major Pharmaceuticals
CYRN,Technology,Computer Software: Prepackaged Software
CONE,Consumer Services,Real Estate Investment Trusts
CYTK,Health Care,Major Pharmaceuticals
CTMX,Health Care,Major Pharmaceuticals
CTSO,Health Care,Medical/Dental Instruments
DADA,Technology,"Computer Software: Programming, Data Processing"
DJCO,Consumer Services,Newspapers/Magazines
DAKT,Consumer Durables,Miscellaneous manufacturing industries
DARE,Health Care,Major Pharmaceuticals
DRIO,Health Care,Medical/Dental Instruments
DRIOW,Health Care,Medical/Dental Instruments
DSKE,Consumer Services,Transportation Services
DSKEW,Consumer Services,Transportation Services
DAIO,Capital Goods,Electrical Products
DDOG,Technology,Computer Software: Prepackaged Software
DTSS,Technology,Computer Software: Prepackaged Software
PLAY,Consumer Services,Restaurants
DTEA,Consumer Non-Durables,Food Chains
DFNL,,
DINT,,
DUSA,,
DWLD,,
DWSN,Energy,Oil & Gas Production
DBVT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DDMXU,Finance,Business Services
DCRB,Finance,Business Services
DCRBU,Finance,Business Services
DCRBW,Finance,Business Services
DCPH,Health Care,Major Pharmaceuticals
DFHT,Finance,Business Services
DFHTU,Finance,Business Services
DFHTW,Finance,Business Services
IBBJ,,
TACO,Consumer Services,Restaurants
DCTH,Health Care,Medical/Dental Instruments
DEMZ,,
DNLI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DENN,Consumer Services,Restaurants
XRAY,Health Care,Medical/Dental Instruments
DRMT,,
DMTK,Health Care,Medical Specialities
DSWL,Consumer Non-Durables,Plastic Products
DXCM,Health Care,Medical/Dental Instruments
DFPH,Finance,Business Services
DFPHU,Finance,Business Services
DFPHW,Finance,Business Services
DMAC,Health Care,Major Pharmaceuticals
DHIL,Finance,Investment Managers
FANG,Energy,Oil & Gas Production
DRNA,Health Care,Major Pharmaceuticals
DFFN,Health Care,Major Pharmaceuticals
DGII,Technology,Computer Communications Equipment
DMRC,Technology,EDP Services
EQOS,Finance,Business Services
EQOSW,Finance,Business Services
DGLY,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,Miscellaneous,Multi-Sector Companies
DCOM,Finance,Savings Institutions
DCOMP,Finance,Savings Institutions
DIOD,Technology,Semiconductors
DRTT,Technology,Computer Software: Prepackaged Software
DISCA,Consumer Services,Television Services
DISCB,Consumer Services,Television Services
DISCK,Consumer Services,Television Services
DISH,Consumer Services,Television Services
DHC,Consumer Services,Real Estate Investment Trusts
DHCNI,Consumer Services,Real Estate Investment Trusts
DHCNL,Consumer Services,Real Estate Investment Trusts
DLHC,Technology,Professional Services
BOOM,Capital Goods,Industrial Specialties
DCBO,Technology,Computer Software: Prepackaged Software
DOCU,Technology,Computer Software: Prepackaged Software
DOGZ,Consumer Durables,Miscellaneous manufacturing industries
DLTR,Consumer Services,Department/Specialty Retail Stores
DLPN,Consumer Services,Other Consumer Services
DOMO,Technology,Computer Software: Prepackaged Software
DGICA,Finance,Property-Casualty Insurers
DGICB,Finance,Property-Casualty Insurers
DMLP,Energy,Oil & Gas Production
DORM,Capital Goods,Auto Parts:O.E.M.
DDI,,
DOYU,Technology,"Computer Software: Programming, Data Processing"
DKNG,Consumer Services,Services-Misc. Amusement & Recreation
LYL,Finance,Finance/Investors Services
DGNS,Finance,Business Services
DBX,Technology,Computer Software: Prepackaged Software
DSPG,Technology,Semiconductors
DCT,Technology,Computer Software: Prepackaged Software
DSAC,Finance,Business Services
DSACU,Finance,Business Services
DSACW,Finance,Business Services
DLTH,Consumer Services,Clothing/Shoe/Accessory Stores
DUNEU,Finance,Business Services
DUOT,Technology,Computer Software: Prepackaged Software
DRRX,Health Care,Major Pharmaceuticals
DXPE,Capital Goods,Industrial Machinery/Components
DYAI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYNT,Health Care,Medical/Dental Instruments
DVAX,Health Care,Major Pharmaceuticals
DYN,Health Care,Major Pharmaceuticals
DZSI,Public Utilities,Telecommunications Equipment
ETAC,Finance,Business Services
ETACU,Finance,Business Services
ETACW,Finance,Business Services
SSP,Consumer Services,Broadcasting
EBMT,Finance,Major Banks
EGBN,Finance,Major Banks
EGLE,Transportation,Marine Transportation
EGRX,Health Care,Major Pharmaceuticals
IGLE,,
EAR,Health Care,Industrial Specialties
ERES,Finance,Business Services
ERESU,Finance,Business Services
ERESW,Finance,Business Services
ESSC,Technology,"Computer Software: Programming, Data Processing"
ESSCR,Technology,"Computer Software: Programming, Data Processing"
ESSCU,Technology,"Computer Software: Programming, Data Processing"
ESSCW,Technology,"Computer Software: Programming, Data Processing"
EWBC,Finance,Major Banks
EBC,Finance,Savings Institutions
EML,Capital Goods,Industrial Machinery/Components
EAST,Consumer Non-Durables,Beverages (Production/Distribution)
EVGBC,,
EVSTC,,
EVLMC,,
EBON,Technology,Semiconductors
EBAY,Miscellaneous,Business Services
EBAYL,Miscellaneous,Business Services
EBIX,Technology,EDP Services
ECHO,Transportation,Oil Refining/Marketing
SATS,Consumer Services,Telecommunications Equipment
MOHO,Consumer Services,Catalog/Specialty Distribution
EDAP,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDSA,Health Care,Major Pharmaceuticals
EDIT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOC,Finance,Business Services
ADOCR,Finance,Business Services
ADOCW,Finance,Business Services
EDTXU,Finance,Business Services
EDUC,Consumer Durables,Consumer Specialties
EGAN,Technology,Computer Software: Prepackaged Software
EH,Capital Goods,Military/Government/Technical
EHTH,Finance,Specialty Insurers
EIDX,Health Care,Major Pharmaceuticals
EIGR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,Capital Goods,Industrial Machinery/Components
LOCO,Consumer Services,Restaurants
ESLT,Capital Goods,Military/Government/Technical
SOLO,Capital Goods,Auto Manufacturing
SOLOW,Capital Goods,Auto Manufacturing
ECOR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EA,Technology,Computer Software: Prepackaged Software
ELSE,Capital Goods,Industrial Machinery/Components
ESBK,Finance,Major Banks
ELOX,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ELTK,Technology,Electrical Products
ELYS,Technology,Computer Software: Prepackaged Software
EMCF,Finance,Major Banks
EMKR,Technology,Semiconductors
ENTA,Health Care,Major Pharmaceuticals
ECPG,Finance,Finance Companies
WIRE,Capital Goods,Metal Fabrications
ENDP,Health Care,Major Pharmaceuticals
NDRA,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NDRAW,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EIGI,Technology,Computer Software: Prepackaged Software
WATT,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,Consumer Durables,Building Products
ERII,Technology,Industrial Machinery/Components
ENG,Consumer Services,Military/Government/Technical
ENLV,Health Care,Major Pharmaceuticals
ENOB,Health Care,Major Pharmaceuticals
ENPH,Technology,Semiconductors
ESGR,Finance,Property-Casualty Insurers
ESGRO,Finance,Property-Casualty Insurers
ESGRP,Finance,Property-Casualty Insurers
ETTX,Health Care,Major Pharmaceuticals
ENTG,Consumer Non-Durables,Plastic Products
ENTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENTXW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EBTC,Finance,Major Banks
EFSC,Finance,Major Banks
ENVB,Technology,Semiconductors
EOSE,Miscellaneous,Industrial Machinery/Components
EOSEW,Miscellaneous,Industrial Machinery/Components
EPZM,Health Care,Major Pharmaceuticals
PLUS,Technology,Retail: Computer Software & Peripheral Equipment
EPSN,Energy,Oil & Gas Production
EQ,Health Care,Major Pharmaceuticals
EQIX,Consumer Services,Real Estate Investment Trusts
EQBK,Finance,Major Banks
ERIC,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Finance,Specialty Insurers
ERYP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESCA,Consumer Non-Durables,Recreational Products/Toys
ESPR,Health Care,Major Pharmaceuticals
GMBL,Consumer Services,Services-Misc. Amusement & Recreation
GMBLW,Consumer Services,Services-Misc. Amusement & Recreation
ESQ,Finance,Commercial Banks
ESSA,Finance,Banks
EPIX,Health Care,Major Pharmaceuticals
ESTA,Health Care,Industrial Specialties
VBND,,
VUSE,,
VIDI,,
ETON,Health Care,Major Pharmaceuticals
ETSY,Miscellaneous,Business Services
EUCR,Finance,Business Services
EUCRU,Finance,Business Services
EUCRW,Finance,Business Services
CLWT,Consumer Durables,Diversified Electronic Products
EDRY,Consumer Services,Marine Transportation
EEFT,Finance,Investment Bankers/Brokers/Service
ESEA,Transportation,Marine Transportation
EVLO,Health Care,Major Pharmaceuticals
EVBG,Technology,Computer Software: Prepackaged Software
EVK,Consumer Non-Durables,Apparel
EVER,Technology,"Computer Software: Programming, Data Processing"
MRAM,Technology,Semiconductors
EVOP,Miscellaneous,Business Services
EVFM,Health Care,Major Pharmaceuticals
EVGN,Basic Industries,Agricultural Chemicals
EVOK,Health Care,Major Pharmaceuticals
EOLS,Health Care,Major Pharmaceuticals
EVOL,Technology,EDP Services
EXAS,Health Care,Biotechnology: Commercial Physical & Biological Resarch
XGN,Health Care,Medical Specialities
ROBO,,
XELA,Miscellaneous,Business Services
EXEL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXC,Public Utilities,Power Generation
EXFO,Capital Goods,Electrical Products
XCUR,Health Care,Major Pharmaceuticals
EXLS,Miscellaneous,Business Services
EXPI,Finance,Real Estate
EXPE,Consumer Services,Transportation Services
EXPD,Transportation,Oil Refining/Marketing
EXPC,Finance,Business Services
EXPCU,Finance,Business Services
EXPCW,Finance,Business Services
EXPO,Consumer Services,Professional Services
STAY,Consumer Services,Hotels/Resorts
EXTR,Technology,Computer Communications Equipment
EYEG,Health Care,Major Pharmaceuticals
EYEN,Health Care,Major Pharmaceuticals
EYPT,Capital Goods,Biotechnology: Laboratory Analytical Instruments
EZPW,Consumer Services,Other Specialty Stores
FLRZ,Basic Industries,Engineering & Construction
FFIV,Technology,Computer Communications Equipment
FB,Technology,"Computer Software: Programming, Data Processing"
FCAC,Finance,Business Services
FCACU,Finance,Business Services
FCACW,Finance,Business Services
FLMN,Energy,Oil & Gas Production
FLMNW,Energy,Oil & Gas Production
DUO,Finance,Real Estate
FANH,Finance,Specialty Insurers
FARM,Consumer Non-Durables,Packaged Foods
FMAO,Finance,Savings Institutions
FMNB,Finance,Major Banks
FAMI,Consumer Non-Durables,Packaged Foods
FARO,Capital Goods,Industrial Machinery/Components
FAST,Consumer Services,RETAIL: Building Materials
FAT,Consumer Services,Restaurants
FATBP,Consumer Services,Restaurants
FATBW,Consumer Services,Restaurants
FATE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FTHM,Finance,Real Estate
FBSS,Finance,Major Banks
FNHC,Finance,Property-Casualty Insurers
FENC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GSM,Basic Industries,Precious Metals
FFBW,Finance,Savings Institutions
FGF,Finance,Property-Casualty Insurers
FGFPP,Finance,Property-Casualty Insurers
FGEN,Health Care,Major Pharmaceuticals
FDBC,Finance,Major Banks
ONEQ,,
FDUS,,
FDUSG,,
FDUSL,,
FDUSZ,,
FRGI,Consumer Services,Restaurants
FITB,Finance,Major Banks
FITBI,Finance,Major Banks
FITBO,Finance,Major Banks
FITBP,Finance,Major Banks
FISI,Finance,Major Banks
FSRV,Finance,Business Services
FSRVU,Finance,Business Services
FSRVW,Finance,Business Services
FTIV,Finance,Business Services
FTIVU,Finance,Business Services
FTIVW,Finance,Business Services
FTCVU,Finance,Business Services
FEYE,Technology,Computer peripheral equipment
FBNC,Finance,Major Banks
FNLC,Finance,Major Banks
FRBA,,
BUSE,Finance,Major Banks
FBIZ,Finance,Major Banks
FCAP,Finance,Savings Institutions
FCBP,Finance,Major Banks
FCNCA,Finance,Major Banks
FCNCP,Finance,Major Banks
FCBC,Finance,Major Banks
FCCO,Finance,Major Banks
FCRD,,
FFBC,Finance,Major Banks
FFIN,Finance,Major Banks
THFF,Finance,Major Banks
FFNW,Finance,Major Banks
FFWM,Finance,Major Banks
FGBI,Finance,Savings Institutions
FHB,Finance,Major Banks
INBK,Finance,Major Banks
INBKL,Finance,Major Banks
INBKZ,Finance,Major Banks
FIBK,Finance,Major Banks
FRME,Finance,Major Banks
FMBH,Finance,Major Banks
FMBI,Finance,Major Banks
FMBIO,Finance,Major Banks
FMBIP,Finance,Major Banks
FXNC,Finance,Major Banks
FNWB,Finance,Banks
FSFG,Finance,Savings Institutions
FSEA,Finance,Savings Institutions
FSLR,Technology,Semiconductors
FAAR,,
FPA,,
BICK,,
FBZ,,
FTHI,,
FCAL,,
FTCS,,
FCEF,,
FCA,,
SKYY,,
RNDM,,
FDT,,
FDTS,,
FVC,,
FV,,
IFV,,
DDIV,,
DVOL,,
DVLU,,
DWPP,,
DALI,,
FDNI,,
FEM,,
RNEM,,
FEMB,,
FEMS,,
FTSM,,
FEP,,
FEUZ,,
FGM,,
FTGC,,
FTLB,,
HYLS,,
NFTY,,
FTAG,,
FTRI,,
LEGR,,
NXTG,,
FICS,,
FPXI,,
FPXE,,
FJP,,
FEX,,
FTC,,
RNLC,,
FTA,,
FLN,,
LMBS,,
LDSF,,
FMB,,
FNX,,
FNY,,
RNMC,,
FNK,,
FAD,,
FAB,,
MDIV,,
MCEF,,
FMHI,,
QABA,,
ROBT,,
FTXO,,
QCLN,,
GRID,,
CIBR,,
FTXG,,
CARZ,,
FTXN,,
FTXH,,
FTXD,,
FTXL,,
TDIV,,
FTXR,,
QQEW,,
QQXT,,
QTEC,,
AIRR,,
RDVY,,
RFAP,,
RFDI,,
RFEM,,
RFEU,,
FID,,
FTSL,,
FYX,,
FYC,,
RNSC,,
FYT,,
SDVY,,
FCVT,,
FDIV,,
FSZ,,
FIXD,,
TUSA,,
FKU,,
RNDV,,
FUNC,Finance,Major Banks
FUSB,Finance,Major Banks
MYFW,Finance,Major Banks
FCFS,Consumer Services,Other Specialty Stores
SVVC,,
FSV,Finance,Real Estate
FISV,Technology,EDP Services
FIVE,Consumer Services,Department/Specialty Retail Stores
FPRX,Health Care,Major Pharmaceuticals
FVE,Health Care,Hospital/Nursing Management
FIVN,Technology,EDP Services
FLEX,Technology,Electrical Products
FLXN,Health Care,Major Pharmaceuticals
SKOR,,
ASET,,
ESG,,
ESGG,,
LKOR,,
QLC,,
MBSD,,
FPAY,Technology,Diversified Commercial Services
FLXS,Consumer Durables,Home Furnishings
FLIR,Capital Goods,Industrial Machinery/Components
FLWR,,
FLNT,Consumer Services,Advertising
FLDM,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FFIC,Finance,Major Banks
FLUX,Miscellaneous,Industrial Machinery/Components
FNCB,Finance,Major Banks
FOCS,Finance,Investment Managers
FHTX,Health Care,Major Pharmaceuticals
FONR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FRSX,Technology,Computer Software: Prepackaged Software
FMTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FORM,Technology,Semiconductors
FORTY,Technology,EDP Services
FORR,Consumer Services,Diversified Commercial Services
FBRX,Health Care,Major Pharmaceuticals
FRTA,Capital Goods,Building Materials
FTNT,Technology,Computer peripheral equipment
FBIO,Health Care,Major Pharmaceuticals
FBIOP,Health Care,Major Pharmaceuticals
FIII,Finance,Business Services
FIIIU,Finance,Business Services
FIIIW,Finance,Business Services
FWRD,Transportation,Oil Refining/Marketing
FORD,Consumer Non-Durables,Plastic Products
FWP,Health Care,Major Pharmaceuticals
FOSL,Consumer Non-Durables,Consumer Specialties
FOX,Consumer Services,Broadcasting
FOXA,Consumer Services,Broadcasting
FOXF,Consumer Non-Durables,Motor Vehicles
FRG,Miscellaneous,Multi-Sector Companies
FRGAP,,
FELE,Consumer Durables,Metal Fabrications
FRAF,Finance,Major Banks
FLACU,Finance,Business Services
FRHC,Finance,Investment Bankers/Brokers/Service
FRLN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RAIL,Capital Goods,Railroads
FEIM,Capital Goods,Electrical Products
FREQ,Health Care,Major Pharmaceuticals
FRPT,Consumer Non-Durables,Packaged Foods
FTDR,Finance,Diversified Commercial Services
FRPH,Finance,Real Estate
FSBW,Finance,Banks
FSDC,Health Care,Major Pharmaceuticals
HUGE,Health Care,Major Pharmaceuticals
FSTX,Health Care,Major Pharmaceuticals
FTOC,Finance,Business Services
FTOCU,Finance,Business Services
FTOCW,Finance,Business Services
FTEK,Capital Goods,Pollution Control Equipment
FCEL,Miscellaneous,Industrial Machinery/Components
FULC,Health Care,Major Pharmaceuticals
FLGT,Health Care,Medical Specialities
FLL,Consumer Services,Hotels/Resorts
FMAX,,
FULT,Finance,Major Banks
FULTP,Finance,Major Banks
FNKO,Consumer Non-Durables,Recreational Products/Toys
HTOO,Public Utilities,Natural Gas Distribution
HTOOW,Public Utilities,Natural Gas Distribution
FUSN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FUTU,Finance,Investment Bankers/Brokers/Service
FTFT,Miscellaneous,Business Services
FFHL,Capital Goods,Specialty Chemicals
FVCB,Finance,Major Banks
GMVD,,
WILC,Consumer Non-Durables,Food Distributors
GTHX,Health Care,Major Pharmaceuticals
GAIA,Consumer Services,Movies/Entertainment
GLPG,Health Care,Major Pharmaceuticals
GALT,Health Care,Major Pharmaceuticals
GLTO,Health Care,Major Pharmaceuticals
GRTX,Health Care,Major Pharmaceuticals
GLMD,Health Care,Major Pharmaceuticals
GMDA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPI,Consumer Services,Real Estate Investment Trusts
GAN,Technology,"Computer Software: Programming, Data Processing"
GRMN,Capital Goods,Industrial Machinery/Components
GBS,Health Care,Medical/Dental Instruments
GCMG,Finance,Investment Managers
GCMGW,Finance,Investment Managers
GDS,Technology,"Computer Software: Programming, Data Processing"
GNSS,Consumer Non-Durables,Consumer Electronics/Appliances
GENC,Capital Goods,Construction/Ag Equipment/Trucks
GFN,Technology,Diversified Commercial Services
GFNCP,Technology,Diversified Commercial Services
GFNSZ,Technology,Diversified Commercial Services
GBIO,Health Care,Major Pharmaceuticals
GENE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GTH,Health Care,Medical Specialities
GNFT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNUS,Consumer Services,Movies/Entertainment
GMAB,Health Care,Major Pharmaceuticals
GNMK,Health Care,Medical/Dental Instruments
GNCA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNPX,Health Care,Major Pharmaceuticals
GNTX,Capital Goods,Auto Parts:O.E.M.
THRM,Capital Goods,Auto Parts:O.E.M.
GEOS,Capital Goods,Industrial Machinery/Components
GOVX,Health Care,Major Pharmaceuticals
GOVXW,Health Care,Major Pharmaceuticals
GABC,Finance,Major Banks
GERN,Health Care,Major Pharmaceuticals
GEVO,Basic Industries,Major Chemicals
ROCK,Capital Goods,Steel/Iron Ore
GIGM,Technology,"Computer Software: Programming, Data Processing"
GIII,Consumer Non-Durables,Apparel
GILT,Technology,Radio And Television Broadcasting And Communications Equipment
GILD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GBCI,Finance,Major Banks
GLAD,Consumer Non-Durables,Textiles
GLADL,Consumer Non-Durables,Textiles
GOOD,Consumer Services,Real Estate
GOODM,Consumer Services,Real Estate
GOODN,Consumer Services,Real Estate
GAIN,,
GAINL,,
GAINM,,
LAND,Consumer Services,Real Estate Investment Trusts
LANDO,Consumer Services,Real Estate Investment Trusts
LANDP,Consumer Services,Real Estate Investment Trusts
GLBZ,Finance,Major Banks
GBT,Health Care,Major Pharmaceuticals
GBLI,Finance,Property-Casualty Insurers
GBLIL,Finance,Property-Casualty Insurers
SELF,Consumer Services,Real Estate Investment Trusts
GWRS,Public Utilities,Water Supply
AIQ,,
DRIV,,
POTX,,
CHB,,
CTEC,,
CLOU,,
KRMA,,
BUG,,
VPN,,
DAX,,
EBIZ,,
EDUT,,
EWEB,,
FINX,,
CHIC,,
GNOM,,
BFIT,,
SNSR,,
LNGR,,
MILN,,
EFAS,,
QYLG,,
QYLD,,
BOTZ,,
CATH,,
CEFA,,
SOCL,,
ALTY,,
SRET,,
EDOC,,
GXTG,,
HERO,,
YLCO,,
GLAQU,Finance,Business Services
GLBS,Transportation,Marine Transportation
GSMG,Technology,EDP Services
GSMGW,Technology,EDP Services
GLUU,Technology,EDP Services
GLYC,Health Care,Major Pharmaceuticals
GOGO,Consumer Services,Telecommunications Equipment
GOCO,Finance,Specialty Insurers
GLNG,Consumer Services,Marine Transportation
GMLP,Consumer Services,Marine Transportation
GMLPP,Consumer Services,Marine Transportation
GDEN,Consumer Services,Services-Misc. Amusement & Recreation
GNOG,Technology,Computer Software: Prepackaged Software
GNOGW,Technology,Computer Software: Prepackaged Software
GOGL,Consumer Services,Marine Transportation
GBDC,,
GTIM,Consumer Services,Restaurants
GWAC,Finance,Business Services
GWACW,Finance,Business Services
GBLK,,
GDRX,Technology,EDP Services
GSHD,Finance,Specialty Insurers
GPRO,Miscellaneous,Industrial Machinery/Components
GHIV,Finance,Finance: Consumer Services
GHIVU,Finance,Finance: Consumer Services
GHIVW,Finance,Finance: Consumer Services
GRSV,Finance,Business Services
GRSVU,Finance,Business Services
GRSVW,Finance,Business Services
GHVIU,Finance,Finance: Consumer Services
GOSS,Health Care,Major Pharmaceuticals
LOPE,Consumer Services,Other Consumer Services
GRVY,Miscellaneous,Business Services
GRAY,Health Care,Major Pharmaceuticals
GECC,,
GECCL,,
GECCM,,
