,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
UNMA,Finance,Accident &Health Insurance,,,,,,,,,,,,,,,,,,,,,,,
UE,Finance,Real Estate,1610000000.0,2880000000.0,116700000.0,,1.6,4.8,81.3,21.2,-0.16699999999999998,4.2,0.0584,0.9666,247740000.0,151410000.0,12483000.0,115406000.0,,646430000.0,0.6,0.05012029325236891,646432000.0,-5605000.0,109523000.0
UBA,Consumer Services,Real Estate Investment Trusts,604830000.0,1120000000.0,30120000.0,,1.8,4.7,,77.9,-0.07,5.5,0.019,0.7413,84470000.0,73120000.0,12451000.0,44969000.0,-0.727,40800000.0,0.2,-0.03491755577109602,40795000.0,2500000.0,22183000.0
UBP,Consumer Services,Real Estate Investment Trusts,604830000.0,1120000000.0,10180000.0,,1.5,4.0,,66.5,-0.07,5.8,0.7101999999999999,0.06570000000000001,84470000.0,73120000.0,12451000.0,44969000.0,-0.727,40800000.0,0.2,-0.03491755577109602,40795000.0,2500000.0,22183000.0
UBP^H,,,,,,,,,,,,,,,,,,,,,,,,,
UBP^K,,,,,,,,,,,,,,,,,,,,,,,,,
USFD,Consumer Non-Durables,Food Distributors,7580000000.0,13000000000.0,220850000.0,4.3,2.1,0.3,18.8,25.4,-0.105,,0.009300000000000001,0.9258,4590000000.0,672000000.0,115000000.0,759000000.0,-0.925,1020000000.0,-0.6,-0.3890887290167866,1019000000.0,8000000.0,385000000.0
USAC,Public Utilities,Natural Gas Distribution,1350000000.0,3330000000.0,96900000.0,,1.5,1.9,41.3,,-0.08,14.5,0.4874,0.25989999999999996,473390000.0,417330000.0,42429000.0,176627000.0,-0.51,2.0,-6.5,0.0,2000.0,6519000.0,39132000.0
USNA,Consumer Durables,Specialty Chemicals,1680000000.0,1400000000.0,21040000.0,1.0,4.4,1.5,15.0,15.1,0.145,,0.4043,0.5752,873400000.0,182590000.0,45355000.0,146190000.0,0.259,278420000.0,5.4,0.22452587875162733,278418000.0,30506000.0,100526000.0
USDP,Transportation,Railroads,98680000.0,310080000.0,26840000.0,,2.7,0.7,,19.0,0.06,15.9,0.4985,0.3361,76060000.0,43710000.0,8896000.0,20633000.0,2.247,6930000.0,-0.925,1.2398965405754931,6928000.0,6131000.0,5720000.0
BIF,,,1090000000.0,,98270000.0,,0.9,16.4,,16.6,-0.1,3.8,0.4636,0.13570000000000002,22450000.0,,2785398.0,7319011.0,,330.77,-0.7,0.0,330770.0,-90076667.0,59127223.0
UTZ,Consumer Non-Durables,Packaged Foods,2610000000.0,3020000000.0,59370000.0,,5.5,,37.7,166.3,0.242,,0.1523,0.7126,,,7450000.0,-998232.0,,32020000.000000004,,,,-4935000.0,7974313.0
UTZ.WS,,,,,,,,,,,,,,,,,,,,,,,,,
VFC,Consumer Non-Durables,Apparel,32729999999.999996,36870000000.0,390000000.0,3.6,11.1,3.7,30.3,111.9,-0.18,2.4,0.07400000000000001,0.8027,5820000000.0,1040000000.0,348458000.0,1288316000.0,-0.604,2680000000.0,-0.1,-0.12480146715018477,1877398000.0,256722000.0,679449000.0
EGY,Energy,Oil & Gas Production,120080000.0,103790000.0,57460000.0,,1.7,1.2,,,0.037000000000000005,,0.0791,0.4384,54690000.0,30970000.0,5078000.0,20747000.0,,41990000.0,-0.754,-0.06366940969202292,41986000.0,7618000.0,2563000.0
MTN,Consumer Services,Services-Misc. Amusement & Recreation,11220000000.0,13460000000.0,40250000.0,,9.6,6.1,45.2,224.6,-0.508,2.3,0.0131,1.0466,820720000.0,470780000.0,-162290000.0,250852000.0,,462210000.0,1.2,0.18218834723003735,462212000.0,-153766000.0,98833000.0
VALE,Basic Industries,Precious Metals,90490000000.0,98270000000.0,5130000000.0,,2.6,2.5,6.4,35.2,0.424,,0.0,0.1954,64800000000.0,,29274000000.0,37379000000.0,1.3869999999999998,,0.1,-0.24790074321981517,49889000000.0,15615000000.0,-6672000000.0
VLO,Energy,Integrated oil Companies,23910000000.0,35080000000.0,407790000.0,9.0,1.2,0.3,64.5,17.0,-0.44,4.2,0.0034000000000000002,0.7934,6530000000.0,3010000000.0,-585000000.0,3885000000.0,,4050000000.0,-0.0,0.7451487710219923,4047000000.0,-464000000.0,2422000000.0
VHI,Basic Industries,Major Chemicals,483470000.0,809970000.0,28270000.0,,0.7,0.2,,12.1,-0.035,3.7,0.9155,0.0227,436800000.0,168100000.0,14300000.0,135300000.0,0.17600000000000002,499200000.0,1.4,0.013436482084690555,497800000.0,15400000.0,49200000.0
VMI,Capital Goods,Metal Fabrications,3720000000.0,4150000000.0000005,21250000.0,,3.2,1.3,18.2,25.9,0.063,1.1,0.024300000000000002,0.9007999999999999,692500000.0,344400000.0,64389000.0,241233000.0,0.034,443060000.0,6.7,0.25387719755029037,443055000.0,39342000.0,153769000.0
VVV,Basic Industries,Major Chemicals,4430000000.0,5860000000.0,184970000.0,1.3,,1.9,14.4,14.1,0.037000000000000005,,0.0022,0.9308,863000000.0,599000000.0,199000000.0,533000000.0,3.5189999999999997,760000000.0,1.6,0.011984021304926764,760000000.0,122000000.0,317000000.0
VAPO,Health Care,Medical/Dental Instruments,776250000.0,683730000.0,25660000.0,,5.7,6.6,,,1.827,,0.1133,0.9598,21310000.0,-39090000.0,-11214000.0,-47964000.0,,139020000.0,-2.0,-0.0628876125761743,139015000.0,-12442000.0,-51059000.0
VAR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,16059999999.999998,15780000000.0,91160000.0,3.6,7.7,5.0,32.4,59.7,-0.032,,0.0033,0.9172,1380000000.0,520400000.0,118200000.0,421600000.0,0.083,800500000.0,2.9,-0.004030161206448258,766100000.0,76600000.0,269200000.0
VGR,Consumer Non-Durables,Farming/Seeds/Milling,1870000000.0,2890000000.0,153290000.0,,,0.9,15.1,26.5,0.12,9.8,0.17059999999999997,0.6208,602130000.0,288190000.0,97278000.0,237190000.0,0.059000000000000004,575160000.0,0.4,-0.1652444745476652,451071000.0,38139000.0,100974000.0
VEC,Consumer Services,Diversified Commercial Services,630630000.0,632220000.0,11620000.0,,2.2,0.4,,19.6,-0.021,,0.023,1.035,129930000.0,56390000.0,14837000.0,52615000.0,0.325,63730000.0,2.7,0.016183293738739456,63734000.0,10391000.0,34716000.0
VEDL,Basic Industries,Precious Metals,9180000000.0,12810000000.0,926080000.0,,1.3,0.9,6.7,5.0,-0.043,7.8,0.0268,0.034300000000000004,421850000000.0,,44412000000.0,124710000000.0,-0.47700000000000004,,1.2,,77175000000.0,6118000000.0,-66640000000.0
VEEV,Technology,Computer Software: Prepackaged Software,43600000000.0,42070000000.0,136370000.0,4.3,20.7,33.4,91.7,134.5,0.344,,0.0055000000000000005,0.8948,800710000.0,371600000.0,101305000.0,287519000.0,0.179,1590000000.0,2.1,-0.20296639029281888,634265000.0,96959000.0,301118000.0
VEL,Finance,Finance: Consumer Services,141420000.0,,20090000.0,,0.6,2.3,,4.7,0.10099999999999999,,0.009899999999999999,1.034,54880000.0,,0.0,0.0,-0.10300000000000001,19210000.0,123.8,0.9596042027950628,19210000.0,3481000.0,17292000.0
VNTR,Basic Industries,Major Chemicals,446180000.0,1240000000.0,106740000.0,,0.6,0.2,21.1,,-0.099,,0.40159999999999996,0.34509999999999996,238000000.0,109000000.0,-22000000.0,50000000.0,,208000000.0,-2.138,0.10638297872340426,208000000.0,-42000000.0,-175000000.0
VTR,Consumer Services,Real Estate Investment Trusts,18350000000.0,29820000000.0,374570000.0,313.9,1.8,4.7,243.9,53.8,-0.065,5.3,0.0043,0.9632,2049999999.9999998,1580000000.0,135098000.0,837169000.0,-0.85,588340000.0,0.9,-0.40740453494274914,588343000.0,12751000.0,433016000.0
VNE,Capital Goods,Auto Parts:O.E.M.,2290000000.0,1830000000.0,111590000.0,,1.7,1.6,,,-0.19699999999999998,,0.0037,0.5034000000000001,311000000.0,-294000000.0,-113000000.0,-460000000.0,,846000000.0,-4.9,-0.005875440658049354,846000000.0,-132000000.0,-500000000.0
VER,Consumer Services,Real Estate Investment Trusts,7770000000.0,13660000000.0,218340000.0,,1.2,6.4,,28.3,-0.026000000000000002,6.6,0.0031,0.9862000000000001,1110000000.0,995490000.0,140576000.0,565377000.0,,207320000.0,1.1,-0.25660223104312563,207321000.0,97932000.0,-300353000.0
VER^F,,,,,,,,,,,,,,,,,,,,,,,,,
VRTV,Consumer Services,Paper,366030000.0,1270000000.0,15890000.0,,0.6,0.0,,65.8,-0.17300000000000001,,0.029300000000000003,0.8776999999999999,1450000000.0,132900000.0,36400000.0,67200000.0,3.137,112500000.0,0.3,0.0008896797153024911,112500000.0,21100000.0,-29500000.0
VZ,Public Utilities,Telecommunications Equipment,239180000000.0,367410000000.0,4139999999.9999995,3.7,3.7,1.8,11.7,13.2,-0.040999999999999995,4.4,0.0003,0.6631999999999999,77140000000.0,47530000000.0,7974000000.0,31521000000.0,-0.161,9010000000.0,4.4,0.13968535904592744,8983000000.0,4357000000.0,19265000000.0
VET,Energy,Oil & Gas Production,837220000.0,2530000000.0,158300000.0,,0.9,0.6,,,-0.284,13.1,0.0233,0.2705,1010000000.0,,-90315000.0,209412000.0,,,-0.2,0.11554534057668199,5339000.0,-69926000.0,32799000.0
VRS,Basic Industries,Paper,419180000.0,351180000.0,33720000.0,,0.5,0.2,20.5,3.3,-0.503,,0.1128,0.8362999999999999,328000000.0,57000000.0,-36000000.0,116000000.0,,73000000.0,3.7,-0.6507177033492823,73000000.0,-31000000.0,96000000.0
VCIF,,,102140000.0,,10380000.0,,0.8,3.99,,9.1,,,0.0019,0.5593,,,,,,,,,,,
VERT.U,,,,,,,,,,,,,,,,,,,,,,,,,
VRT,Capital Goods,Industrial Machinery/Components,6410000000.0,8400000000.0,328410000.0,,17.2,1.5,,,0.085,,0.0363,0.8484,1450000000.0,470400000.0,127900000.0,225300000.0,,324300000.0,,-0.12280227211252366,324300000.0,-15800000.0,-140800000.0
VRT.WS,,,,,,,,,,,,,,,,,,,,,,,,,
VGAC,Finance,Business Services,795900000.0,796060000.0,50850000.0,,,,,,,,0.0,0.0003,,,0.0,,,24.68,,,,-159.0,
VGAC.U,,,,,,,,,,,,,,,,,,,,,,,,,
VGAC.WS,,,,,,,,,,,,,,,,,,,,,,,,,
VIAO,Technology,Semiconductors,294950000.0,241610000.0,22650000.0,,3.5,1.6,,,0.425,,0.062,0.1606,10020000.0,,1700000.0,-10953284.0,,,,11.193315105675863,87400000.0,1400000.0,-11759184.0
VVI,Miscellaneous,Business Services,758920000.0,1180000000.0,20430000.0,,5.6,1.0,112.3,21.6,-0.8220000000000001,0.9,0.0178,0.907,90470000.0,-17810000.0,-9620000.0,63225000.0,,56450000.0,-16.3,-0.6339420034237693,56452000.0,-30758000.0,22035000.0
VICI,Consumer Services,Real Estate Investment Trusts,13500000000.0,20400000000.0,536669999.99999994,,1.4,11.3,14.3,17.8,0.526,,0.0017000000000000001,1.0881,870900000.0,766970000.0,139683000.0,842499000.0,1.757,144060000.0,1.4,-0.9142791347522458,144057000.0,398274000.0,545964000.0
VNCE,Consumer Services,Clothing/Shoe/Accessory Stores,85570000.0,299820000.0,11800000.0,,1.1,0.3,,1.8,-0.34,,0.0248,0.7909,178430000.0,-22880000.0,6264000.0,3490000.0,-0.17300000000000001,704.0,-0.5,-0.09974424552429667,704000.0,4963000.0,30396000.0
VIPS,Consumer Services,Catalog/Specialty Distribution,19130000000.0,17620000000.0,677320000.0,,4.7,1.3,16.7,32.3,0.182,,0.0795,0.627,20680000000.0,,1248112000.0,5599553000.0,0.42100000000000004,,0.4,0.20131320647965004,8883746000.0,1244399000.0,4016832000.0
SPCE,Consumer Services,Transportation Services,7130000000.0,6390000000.0,234340000.0,,9.8,2.57,,,,,0.4,0.29719999999999996,1780000.0,-266459999.99999997,-77179000.0,-213262000.0,,741570000.0,,1.0604342172531063,741575000.0,-76950000.0,-210935000.0
VHC,Miscellaneous,Multi-Sector Companies,358140000.0,110150000.0,71060000.0,,1.6,1.2,,1.3,5.5,,0.1067,0.32270000000000004,85.0,160760000.0,-5335000.0,-19665000.0,,247990000.0,3.9,-0.1638593101712543,225911000.0,-4025000.0,-19180000.0
VGI,,,136930000.0,,11310000.0,,1.0,7.8,,15.5,,12.4,0.0005,0.2832,,,,,,,,,,,
ZTR,,,522520000.0,,47380000.0,,1.0,14.8,,14.5,0.408,,0.0003,0.0861,12600000.0,,3687000.0,8250000.0,,49.0,-0.3,0.0,49000.0,-22387500.0,33284000.0
V,Miscellaneous,Business Services,444390000000.0,453500000000.0,1700000000.0,2.7,14.2,20.5,37.0,41.2,-0.16899999999999998,0.6,0.0011,0.9601999999999999,21120000000.0,14890000000.0,3177000000.0,14125000000.0,-0.294,20040000000.0,4.8,0.17203914232263634,16289000000.0,2137000000.0,10866000000.0
VSH,Capital Goods,Electrical Products,3310000000.0,3090000000.0,132560000.0,,2.1,1.3,17.7,33.6,0.019,1.7,0.006999999999999999,0.9501999999999999,671200000.0,347460000.0,58024000.0,272453000.0,0.115,711960000.0,0.6,0.13750270864934241,682422000.0,33484000.0,163936000.0
VPG,Capital Goods,Electrical Products,427350000.0,400780000.0,12550000.0,,1.6,1.6,,29.7,0.002,,0.0209,0.8795000000000001,112870000.0,34570000.0,7730000.0,32606000.0,0.242,89800000.0,1.0,0.02979460302533344,89795000.0,5598000.0,22188000.0
VIST,Energy,Oil & Gas Production,247390000.0,564950000.0,87650000.0,,0.4,0.8,1.4,,-0.337,,0.1432,0.2186,239880000.0,88000000.0,-14654000.0,18895000.0,,225100000.0,-1.526,0.018546510562670624,222365000.0,-28402000.0,-32723000.0
VSTO,Capital Goods,Ordnance And Accessories,1640000000.0,2009999999.9999998,58240000.0,,2.8,0.8,12.2,,0.292,,0.0203,0.9578,360290000.0,215610000.0,75256000.0,34734000.0,,40750000.0,-0.1,0.12998141934052526,40746000.0,79645000.0,-155079000.0
VST,Public Utilities,Electric Utilities: Central,10520000000.0,20280000000.0,489130000.0,1.0,1.2,0.9,10.9,12.0,0.11199999999999999,,0.0026,0.9343,4540000000.0,4130000000.0,948000000.0,2023000000.0,2.92,519000000.0,1.7,0.3089005235602094,500000000.0,443000000.0,928000000.0
VST.WS.A,,,,,,,,,,,,,,,,,,,,,,,,,
VVNT,Technology,EDP Services,4120000000.0,6730000000.0,198470000.0,,5.2,2.7,,378.8,0.09699999999999999,,0.102,0.8504,786700000.0,-58550000.0,-65034000.0,-142285000.0,,296500000.0,,0.1877164089174533,295682000.0,-107939000.0,-395924000.0
VVNT.WS,,,,,,,,,,,,,,,,,,,,,,,,,
VMW,Technology,Computer Software: Prepackaged Software,59400000000.0,61390000000.0,112560000.0,1.1,7.0,5.1,20.1,37.6,0.078,,0.28300000000000003,0.7056999999999999,9010000000.0,2360000000.0,472000000.0,1520000000.0,0.066,3900000000.0,3.7,-0.1711673399957474,3898000000.0,434000000.0,6412000000.0
VOC,Energy,Oil & Gas Production,40800000.0,40000000.0,17000000.0,,2.0,5.9,,7.3,,14.3,0.0,0.0473,12660000.0,,0.0,11815000.0,-1.0,795.45,0.325,-0.1489603906372034,795448.0,0.0,11815000.0
VCRA,Capital Goods,Telecommunications Equipment,1410000000.0,1320000000.0,32490000.000000004,2.9,8.4,7.4,68.9,,0.06,,0.0194,1.1672,109100000.0,-1580000.0,4016000.0,-14123000.0,12.963,211240000.0,-0.3,0.06315932757095215,31242000.0,4161000.0,-17980000.0
VNT,Capital Goods,Industrial Machinery/Components,5910000000.0,5970000000.0,168500000.0,1.6,3.7,2.2,14.2,19.8,0.045,,0.1991,0.2867,1190000000.0,625800000.0,178600000.0,568800000.0,0.165,,,,,141000000.0,436500000.0
VNO,Consumer Services,Real Estate Investment Trusts,7380000000.0,14740000000.0,191260000.0,,1.3,4.5,36.1,141.3,-0.207,3.9,0.08220000000000001,0.8461,1080000000.0,688450000.0,55011000.0,491944000.0,-0.804,1410000000.0,0.2,-0.20210363938321443,1411047000.0,65700000.0,3147937000.0
VNO^K,,,,,,,,,,,,,,,,,,,,,,,,,
VNO^L,,,,,,,,,,,,,,,,,,,,,,,,,
VNO^M,,,,,,,,,,,,,,,,,,,,,,,,,
VNO^N,,,,,,,,,,,,,,,,,,,,,,,,,
IAE,,,106490000.0,,11900000.0,,1.0,13.8,,14.4,,9.9,0.0,0.5962,,,,,,,,,,,
IHD,,,145460000.0,,19040000.0,,1.0,17.6,,18.1,,10.3,0.0,0.5826,,,,,,,,,,,
VOYA,Finance,Life Insurance,7570000000.0,9770000000.0,126270000.0,,0.8,1.1,10.7,59.9,0.105,0.3,0.0064,1.0992,3530000000.0,267000000.0,-90000000.0,983000000.0,,1350000000.0,-9.8,-0.05225225225225225,1052000000.0,-319000000.0,-351000000.0
VOYA^B,,,,,,,,,,,,,,,,,,,,,,,,,
IGA,,,161880000.0,,18230000.0,,0.9,305.2,,535.0,-0.275,9.3,0.0,0.5274,6980000.0,,1106712.0,4968157.0,,687.38,-0.6,0.0,687380.0,-2578508.0,-3066950.0
IGD,,,518200000.00000006,,96680000.0,,0.9,,,,-0.33,11.2,0.0,0.3395,23690000.0,,3576239.0,16980894.0,,2160000.0,-0.3,0.0,2163003.0,-5667858.0,-12832721.0
IDE,,,208860000.0,,19070000.0,,0.9,,,,,9.6,0.0,0.4631,,,,,,,,,,,
IID,,,38710000.0,,8330000.0,,0.9,,,,,10.5,0.0,0.4138,,,,,,,,,,,
IRR,,,62130000.0,,22350000.0,,0.8,,,,,12.8,0.0,0.3786,,,,,,,,,,,
PPR,,,646880000.0,,122270000.0,,0.9,57.3,,62.1,-0.419,6.0,0.0004,0.6214,65480000.00000001,,6487739.0,52520840.0,52.25899999999999,8.48,-0.418,-0.9959262078387964,8483.0,29251026.0,9995053.0
VMC,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),21320000000.0,23930000000.0,132509999.99999999,1.5,3.6,4.4,31.5,34.9,-0.077,0.8,0.0018,0.9207,1260000000.0,1280000000.0,292834000.0,872461000.0,-0.07400000000000001,1080000000.0,4.5,0.32730956884783263,1084100000.0,199788000.0,617662000.0
VYGG,Finance,Business Services,,,57500000.0,,,,,,,,0.0,0.052199999999999996,,,-42754.0,,,13500000.0,,,,-42754.0,
VYGG.U,,,,,,,,,,,,,,,,,,,,,,,,,
VYGG.WS,,,,,,,,,,,,,,,,,,,,,,,,,
WTI,Energy,Oil & Gas Production,343100000.0,923190000.0,141780000.0,,,0.8,15.5,6.0,-0.45899999999999996,,0.3497,0.3832,322140000.0,172660000.0,-19010000.0,58649000.0,,56530000.0,0.394,0.5485673587903358,56532000.0,-13339000.0,74086000.0
WPC,Consumer Services,Real Estate Investment Trusts,11790000000.0,17880000000.0,175400000.0,,1.7,9.6,,25.9,-0.013000000000000001,5.9,0.01,0.6358,1130000000.0,1070000000.0000001,141461000.0,561148000.0,2.614,152220000.0,2.5,0.10978659492406512,152215000.0,149397000.0,305243000.0
WRB,Finance,Property-Casualty Insurers,11790000000.0,12310000000.0,178220000.0,1.5,1.9,1.6,19.7,37.5,0.038,0.7,0.23920000000000002,0.7347,3370000000.0,742630000.0,251260000.0,975614000.0,-0.08199999999999999,3170000000.0,1.7,0.05784906036055234,2571447000.0,151678000.0,681944000.0
WRB^C,,,,,,,,,,,,,,,,,,,,,,,,,
WRB^D,,,,,,,,,,,,,,,,,,,,,,,,,
WRB^E,,,,,,,,,,,,,,,,,,,,,,,,,
WRB^F,,,,,,,,,,,,,,,,,,,,,,,,,
WRB^G,,,,,,,,,,,,,,,,,,,,,,,,,
GRA,Basic Industries,Major Chemicals,3700000000.0,5470000000.0,66190000.0,,11.7,2.1,14.3,266.4,-0.109,,0.0102,0.8763,797300000.0,337200000.0,76800000.0,353900000.0,-0.87,268700000.0,0.2,-0.7306535685645549,268700000.0,7000000.0,126300000.0
GWW,Consumer Services,Office Equipment/Supplies/Services,20860000000.0,22400000000.0,53670000.0,3.2,9.7,1.7,21.7,33.4,0.024,2.0,0.1366,0.7372,4400000000.0,1550000000.0,374000000.0,1407000000.0,0.03,859000000.0,11.5,-0.4641297567061759,859000000.0,240000000.0,849000000.0
WNC,Capital Goods,Construction/Ag Equipment/Trucks,956810000.0,1200000000.0,52950000.0,,2.4,0.6,,6.5,-0.395,,0.013999999999999999,1.128,306380000.0,85760000.0,8439000.0,142786000.0,-0.847,215820000.0,-1.5,0.5870081548314987,215822000.0,3887000.0,89575000.0
WDR,Finance,Investment Bankers/Brokers/Service,1560000000.0,915010000.0,62510000.0,,2.0,1.6,16.4,17.6,-0.011000000000000001,7.5,0.0393,1.1948999999999999,354860000.0,151450000.0,36361000.0,158533000.0,-0.077,744600000.0,1.4,0.054552995979835366,165259000.0,30523000.0,114992000.0
WD,Finance,Finance: Consumer Services,2770000000.0,6100000000.0,31230000.0,,2.4,2.8,10.9,13.7,0.154,,0.0818,0.7862,795590000.0,,0.0,0.0,0.20800000000000002,332160000.0,6.4,0.07147840495345237,294873000.0,53190000.0,173373000.0
WMT,Consumer Services,Department/Specialty Retail Stores,416730000000.0,470880000000.0,2830000000.0,4.0,5.1,0.7,25.6,21.2,0.052000000000000005,2.2,0.5107,0.3035,129360000000.00002,38020000000.0,6378000000.0,21468000000.0,0.562,14330000000.0,6.9,-0.15266769194368862,14325000000.0,5135000000.0,14881000000.0
DIS,Consumer Services,Services-Misc. Amusement & Recreation,310390000000.0,351100000000.0,1810000000.0,2.8,3.7,4.7,84.7,51.2,-0.231,1.3,0.002,0.6557,21510000000.0,9710000000.0,109000000.0,4364000000.0,,17910000000.0,-1.5,-0.22500540774388925,17914000000.0,-710000000.0,-2864000000.0
HCC,Energy,Coal Mining,1180000000.0,1370000000.0,51190000.0,,1.5,1.5,14.4,62.2,-0.374,,0.0043,1.0258,517740000.0,140130000.0,-14527000.0,383392000.0,,224920000.0,0.3,-0.019260138763635044,216413000.0,-14434000.0,301699000.0
WPG,Consumer Services,Real Estate Investment Trusts,211800000.0,3550000000.0,20830000.0,,0.4,0.4,,,-0.233,27.7,0.011200000000000002,0.5523,424180000.0,236280000.0,-3220000.0,94060000.0,,95330000.0,-5.8,-0.24949810658247978,95328000.0,-40229000.0,4274000.0
WPG^H,,,,,,,,,,,,,,,,,,,,,,,,,
WPG^I,,,,,,,,,,,,,,,,,,,,,,,,,
WRE,,,1740000000.0,2820000000.0,82370000.0,,1.3,5.7,,34.6,-0.08800000000000001,4.3,0.010700000000000001,0.9005,193600000.0,163600000.0,7755000.0,31279000.0,,3810000.0,0.6,-0.521515493664534,3814000.0,-956000.0,383550000.0
WCN,Public Utilities,Environmental Services,27690000000.0,31700000000.0,262899999.99999997,,4.1,5.0,28.4,133.3,-0.016,0.7,0.0021,0.8914,2190000000.0,1640000000.0,236714000.0,914413000.0,-0.006999999999999999,859100000.0,0.7,0.08670534854803802,859096000.0,158049000.0,566841000.0
WM,Public Utilities,Environmental Services,50120000000.0,59840000000.0,422610000.0,3.1,7.0,3.3,25.4,33.5,-0.027000000000000003,2.0,0.0015,0.7922,5970000000.0,4179999999.9999995,694000000.0,2770000000.0,-0.212,703000000.0,3.5,-0.7360120165227187,703000000.0,390000000.0,1670000000.0
WAT,Capital Goods,Biotechnology: Laboratory Analytical Instruments,16250000000.0,17510000000.0,62050000.0,3.4,,7.1,27.7,33.0,0.028999999999999998,,0.005699999999999999,0.9236,1400000000.0,769870000.0,164189000.0,716797000.0,-0.08199999999999999,397070000.0,8.0,0.10588256114394931,374934000.0,126769000.0,592198000.0
WSO,Consumer Durables,Industrial Machinery/Components,9060000000.0,9190000000.0,32850000.0,,6.1,1.6,32.2,34.9,0.102,3.0,0.0073,0.9809,1160000000.0,398000000.0,153180000.0,357168000.0,0.276,92600000.0,6.8,0.16371130911238738,92600000.0,106489000.0,245950000.0
WSO.B,,,,,,,,,,,,,,,,,,,,,,,,,
WTS,Capital Goods,Metal Fabrications,4350000000.0,4410000000.0,27430000.0,4.3,4.2,2.9,34.7,37.5,-0.027000000000000003,1.0,0.013999999999999999,1.0143,677500000.0,233800000.0,51900000.0,202300000.0,0.019,188300000.0,3.4,0.26630800268997984,188300000.0,32900000.0,131500000.0
W,Consumer Services,Catalog/Specialty Distribution,25700000000.0,26870000000.0,72810000.0,,,1.9,96.1,,0.665,,0.0581,1.0731,2150000000.0,143500000.0,221854000.0,-929941000.0,,2560000000.0,-1.7,0.11985857249534833,2442939000.0,173166000.0,-984584000.0
WBS,Finance,Major Banks,4310000000.0,,90200000.0,,1.3,3.5,15.0,17.6,-0.092,2.8,0.009899999999999999,0.8814,1200000000.0,,0.0,0.0,-0.262,552490000.0,2.6,-0.3118327813040208,208600000.0,69281000.0,382723000.0
WBS^F,,,,,,,,,,,,,,,,,,,,,,,,,
WEC,Public Utilities,Power Generation,27430000000.0,40440000000.0,315440000.0,2.6,2.6,3.7,21.6,22.8,0.027000000000000003,2.9,0.0017000000000000001,0.7456999999999999,2670000000.0,2710000000.0,382000000.0,1567600000.0,0.139,13100000.0,3.8,-0.015037593984962405,13100000.0,266800000.0,1134000000.0
WEI,Finance,Finance: Consumer Services,98650000.0,-45640000.0,70460000.0,,0.3,0.2,,2.5,-0.502,,0.0,0.0013,2080000000.0,,-165981500.0,258608000.0,,,1.401,0.0,945529000.0,-242160500.0,253610000.0
WRI,Consumer Services,Real Estate Investment Trusts,2790000000.0,4470000000.0,128139999.99999999,,1.6,6.3,37.5,17.1,-0.07400000000000001,5.2,0.0688,0.8558,331190000.0,250950000.0,25351000.0,159661000.0,-0.765,50220000.0,1.2,2.5355206646483137,50215000.0,25089000.0,315435000.0
WMK,Consumer Services,Food Chains,1280000000.0,1250000000.0,26900000.0,,1.1,0.3,,11.1,0.14400000000000002,2.6,0.39399999999999996,0.4155,1020000000.0,256370000.0,42806000.0,81639000.0,1.188,219860000.0,4.4,0.08050800662617338,117408000.0,31336000.0,67983000.0
WBT,Technology,Industrial Machinery/Components,1980000000.0,3350000000.0,141520000.0,,8.5,1.6,27.4,150.2,-0.273,,0.0045000000000000005,0.8654999999999999,569400000.0,171800000.0,29500000.0,216200000.0,-0.7559999999999999,122900000.0,-0.0,-0.11899641577060932,122900000.0,4900000.0,55900000.0
WFC,Finance,Major Banks,132470000000.0,,4130000000.0,1.9,0.8,1.7,14.7,82.1,-0.062,3.7,0.0012,0.6948000000000001,58210000000.0,,0.0,0.0,0.040999999999999995,431230000000.0,0.4,0.04495782633180837,330284000000.0,2992000000.0,3301000000.0
WFC^A,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^L,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^N,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^O,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^P,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^Q,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^R,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^W,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^X,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^Y,,,,,,,,,,,,,,,,,,,,,,,,,
WFC^Z,,,,,,,,,,,,,,,,,,,,,,,,,
EOD,,,216760000.0,,43530000.0,,1.0,5.0,,5.1,,11.3,0.0003,0.2728,,,,,,,,,,,
